channel_id,title,description,published_at,country,view_count,comment_count,subscriber_count,video_count,is_verified,keywords,profile_picture_url
UCCigEaEk-_gOrNlPdseG1pA,Alexa Real,"you give a man a fish ... you feed him for a day
you give a chicken tnt ... no, no, no.

Now I do have tiktok:
https://www.tiktok.com/@realalexareal
",2021-04-05T10:16:22.123098Z,US,2589664576,0,3670000,852,False,"""minecraft memes"" minecraft meme ""alexa real""",https://yt3.ggpht.com/1_shYzJRf7U8wiswDu_vKeOus9qvYdRVKLy-rF1AbgNeol6krmwKEYIUJeREtDlIeujHdyvGgw=s88-c-k-c0x00ffffff-no-rj
UC39XuoRWNr_clzreEgvjU-Q,axol,"i playing roblox
 ",2020-09-18T23:28:19.026149Z,GB,1199923449,0,2270000,1546,False,"minecraft meme memes ""minecraft meme"" ""minecraft memes"" funny axol",https://yt3.ggpht.com/nXZIYSFzT9PEY2rifNCNfHsFquiFrM6Lh7E7NbpVZKBkpPX9s1NqwvPdkL6S6O8zOqBhkKRusg=s88-c-k-c0x00ffffff-no-rj
UCmWgEtY6n_Dxe9hfLqmBegQ,José Castilho - Desenvolvedor Disputado,"Aqui você encontra um conteúdo top e atualizado que vai te ajudar a aprender programar Java, conseguir o seu primeiro emprego como desenvolvedor e se tornar um profissional diferenciado.",2020-02-10T21:37:38.941986Z,BR,467721,0,5710,446,False,"Java Programação desenvolvedor ""programação em java"" ""como começar a programar em java"" ""linguagem de programação"" ""desenvolvedor java"" ""linguagem de programação java"" ""tornar um programador"" ""se tornar um programador java"" ""como programar em java"" javascript ""dev java""",https://yt3.ggpht.com/ytc/AIdro_lubP5gwdaSXtVHrXyDyrvM4cPOwD-Q2NkhJGvRufp24A=s88-c-k-c0x00ffffff-no-rj
UC39XuoRWNr_clzreEgvjU-Q,axol,"i playing roblox
 ",2020-09-18T23:28:19.026149Z,GB,1199923449,0,2270000,1546,False,"minecraft meme memes ""minecraft meme"" ""minecraft memes"" funny axol",https://yt3.ggpht.com/nXZIYSFzT9PEY2rifNCNfHsFquiFrM6Lh7E7NbpVZKBkpPX9s1NqwvPdkL6S6O8zOqBhkKRusg=s88-c-k-c0x00ffffff-no-rj
UCCigEaEk-_gOrNlPdseG1pA,Alexa Real,"you give a man a fish ... you feed him for a day
you give a chicken tnt ... no, no, no.

Now I do have tiktok:
https://www.tiktok.com/@realalexareal
",2021-04-05T10:16:22.123098Z,US,2589664576,0,3670000,852,False,"""minecraft memes"" minecraft meme ""alexa real""",https://yt3.ggpht.com/1_shYzJRf7U8wiswDu_vKeOus9qvYdRVKLy-rF1AbgNeol6krmwKEYIUJeREtDlIeujHdyvGgw=s88-c-k-c0x00ffffff-no-rj
UCoAqa-GrqMHIJGMz9UG0wGw,zFazT ™,"We'll Be Right Back in Minecraft
TO BE CONTINUED IN MINECRAFT
This video will make you uncomfortable
Very Satisfying Things in Minecraft",2014-07-10T18:52:58Z,US,311881162,0,1030000,859,False,"""TO BE CONTINUED IN MINECRAFT"" ""TO BE CONTINUED IN FORTNITE"" ""TO BE CONTINUED"" ""TO BE CONTINUED MEME"" ""MEME MINECRAFT"" SCP-096 ""shy guy 096"" ELYTRA TNT LAVA ""Trolling Friend"" ""meme fortnite"" ""to be continued"" ""minecraft memes"" ""minecraft to be continued"" jojo",https://yt3.ggpht.com/ySayMnyFTqoqcoFjNFOACg5gvmWPnET5wzdJboFtXcBfC38USYZcSyZ9I0It9yBZXvFnAzSHEA=s88-c-k-c0x00ffffff-no-rj
UCkLAvUxC--vOHEzlaNYlqrw,Rapazinho do TI,"Seja muito bem-vindo ao canal Rapazinho do TI.

Meu nome é Leandro Ferreira, criador deste canal, e nele você receberá dicas e soluções para computadores e Smartphone.

Tenho mais de 10 anos de experiência na área, e estou aqui não só para compartilhar meu conhecimento com você e sim para também aprender.

""Quem ensina aprende ao ensinar. E quem aprende ensina ao aprender"". Paulo Freire


",2019-02-10T00:46:32Z,BR,3076942,0,19400,245,False,"""rapazinho do ti"" ""canal de ti"" informatica computacao ""canal de informatica"" ""canal de computacao""",https://yt3.ggpht.com/ytc/AIdro_lNp1iEeTZwvqx4HI4hLgup1zZe-Z_ij4v-xPg6ZqniU_o=s88-c-k-c0x00ffffff-no-rj
UCCigEaEk-_gOrNlPdseG1pA,Alexa Real,"you give a man a fish ... you feed him for a day
you give a chicken tnt ... no, no, no.

Now I do have tiktok:
https://www.tiktok.com/@realalexareal
",2021-04-05T10:16:22.123098Z,US,2589664576,0,3670000,852,False,"""minecraft memes"" minecraft meme ""alexa real""",https://yt3.ggpht.com/1_shYzJRf7U8wiswDu_vKeOus9qvYdRVKLy-rF1AbgNeol6krmwKEYIUJeREtDlIeujHdyvGgw=s88-c-k-c0x00ffffff-no-rj
UCKFxjT5z-2T_4M8N0qfAXmA,JoSa Craft,"Hi, my name is Josa Craft. I live in USA. 
I shoot a video on the game Minecraft!
",2021-01-29T21:33:04.836603Z,US,388240020,0,1290000,665,False,Minecraft,https://yt3.ggpht.com/ytc/AIdro_khL2ubC-RU_xr1EZzZ_PQ4bU0kpA0e-EyFzVDwzbMbEw=s88-c-k-c0x00ffffff-no-rj
UCBmBea7IUgFaytgHQ9FNOlw,Hey Vordex,"Olá pessoal!

Somos o canal, Hey Vordex. Um canal gamer que vai trazer gameplays, dicas, curiosidades e muito mais sobre jogos atuais e jogos que marcaram épocas. Hey Vordex é um canal criado por dois irmãos, Rennan e Ronnan, ambos fanáticos por jogos.



Nosso PC Gamer, Flash:

Processador: Intel Core i7 4790K 4.00Ghz
Placa VGA: G1 Gaming 4GB
Memória Ram: 16GB
HD: 1TB
Fonte: 1300W",2015-09-08T23:29:46Z,BR,147504061,0,703000,4557,False,Hey Vordex,https://yt3.ggpht.com/ytc/AIdro_k-8lPeCwXlHwuGlrqXc90BNt04OSxJrFetoDaQECm7Vg=s88-c-k-c0x00ffffff-no-rj
UC0vTSRQM0Zfx1VvOD1qvAEw,Tree,"Hi guys
Welcome to channel!
",2021-12-05T17:16:05.787798Z,US,87872626,0,374000,459,False,,https://yt3.ggpht.com/h2zMkbzlEdexQuLbg9ek6j4C7A6JUqsj1Xf5_zdDdqvtvysg-ocFcPPJ8RlOGuEjxvyEBiKI=s88-c-k-c0x00ffffff-no-rj
UCohN1SLG0PZbI60FV5Poftw,L3VI,,2018-10-01T11:57:38Z,BR,361858074,0,1300000,1840,False,"l3vi levi minecraft minecraf gameplay ""mine craft"" maniqueft minequeft",https://yt3.ggpht.com/3CgOPHAaGSSNhdiskPbi1hjaOs87ZpqOQqorSZ7-gpybpCrc8MlDSA5IbExZWT-Y7vtJ0d5Wdxs=s88-c-k-c0x00ffffff-no-rj
UC7OdMxqnsiU9HLU8A3RBvmw,Renan Lessa | Panela Dev,Canal criado para compartilhar conteúdo da linguagem de programação Java.,2021-10-25T18:19:18.393268Z,BR,99968,0,1810,114,False,"java dev developer programação programador intelllij ""java básico"" ""orientação a objetos"" ""java oo"" ""banco de dados"" postegresql postgres mongodb mongo ""java developer"" ""programador java"" ""aprender java"" ""básico em java"" git github ""spring boot"" ""spring data"" spring",https://yt3.ggpht.com/OyIglN-nmIlH_dFonoxEzvmJkxTKG8xYG6HDB8oMZs9f8bu7aKUNJnmRYFBGmBOriq7TeBgNfGU=s88-c-k-c0x00ffffff-no-rj
UCq-HEKdwH-lObTMvnkW6NVA,Cryswerton Silva,"Esse canal foi criado com o intuito de ajudar quem está iniciando em programação, principalmente focando em programação Java, e sanar dúvidas pontuais sobre tecnologias no geral.",2017-10-19T04:11:24Z,BR,844455,0,6630,159,False,"""cryswerton silva"" programação ""programação para iniciantes"" ""aprender java"" ""aprender php"" ""aprender git"" java php git github ""programação web"" ""como criar sites""",https://yt3.ggpht.com/KK2wkMyuOpcuzXIMBQfQpLcG6vbZpRsu_bNscS2WhNjzXYzps4rhB6pHkdyRbGmUaizbMk0PRg=s88-c-k-c0x00ffffff-no-rj
UC7OJ2j9Ea3kGzym50u63zsg,VK Bhuriya - Topic,,2021-12-08T00:20:02.811654Z,,11283864,0,28900,591,False,,https://yt3.ggpht.com/tl-cvjYMk_nIyVrO2e4nDsIlmuzS-ysJ-TWoIIEALGqQtyDYply9vHxmhfrZTgWFFloRTpz59g=s88-c-k-c0x00ffffff-no-rj
UCEDjQf5cEkH4320GevAitUA,thiagorigonatti,"Canal focado em desenvolvimento de software; na maioria das vezes o conteúdo é relacionado à linguagem de programação Java.


",2020-10-13T18:14:30.4458Z,BR,46772,0,390,78,False,"java poo oop spring ""spring boot"" reflection ""orientação a objetos"" ""annotation processing"" ""padrões de projetos"" avançado ""back end"" back-end backend generics lambda ""programação funcional"" obfuscation advanced ""desenvolvimento de software"" scrum kafka docker ""spring framework"" ""design patterns"" ""jakarta ee"" intellij sql mysql database nosql mapstruct lombok dto dao api ""consumindo uma api"" discord bot ""minecraft plugin"" spigot tutorial curso course como criar ""how to"" server servidor ? * . \\w",https://yt3.ggpht.com/scFsiB95-IPXQqSGPnaVrV5MuNaCNOrb3cyVk48opOxpLyPRPf4j4vEvasYuuikD6o_oE6XD=s88-c-k-c0x00ffffff-no-rj
UC39XuoRWNr_clzreEgvjU-Q,axol,"i playing roblox
 ",2020-09-18T23:28:19.026149Z,GB,1199923449,0,2270000,1546,False,"minecraft meme memes ""minecraft meme"" ""minecraft memes"" funny axol",https://yt3.ggpht.com/nXZIYSFzT9PEY2rifNCNfHsFquiFrM6Lh7E7NbpVZKBkpPX9s1NqwvPdkL6S6O8zOqBhkKRusg=s88-c-k-c0x00ffffff-no-rj
UCG7QEHMHvLvQAB2RSBb4grg,Jackson Alves,,2021-02-16T21:55:24.328508Z,,8712,0,389,1,False,,https://yt3.ggpht.com/ytc/AIdro_n_TTBZ3S_XitY3KSFuihlxcYhFFl9OqrMqZWu30otCxMI=s88-c-k-c0x00ffffff-no-rj
UC3twHmWQwtqEO7u-gB_2f7g,DevSuperior,Ajudamos estudantes e profissionais de programação a ingressar ou se recolocar na carreira,2020-05-24T16:38:56.558433Z,BR,2476471,0,74300,219,False,"devsuperior ""semana devsuperior"" ""curso de programação"" programação ""tutorial de programação"" ""aula de programação"" ""nelio alves"" java ""java web"" ""spring boot"" react reactjs ""react native"" ""dev superior"" computação uml ""modelo de domínio"" ""back end"" ""front end"" desenvolvimento ""desenvolvimento web"" web mobile jpa hibernate docker microsserviços ""spring framework"" sql ""banco de dados""",https://yt3.ggpht.com/ytc/AIdro_mNBSmXVgLo6ZAe0uCCZiOo4H2Iy4ioP-OiU-jVb_zMXg=s88-c-k-c0x00ffffff-no-rj
UCqQn92noBhY9VKQy4xCHPsg,Loiane Groner,"Java Champion, Google Developer Expert, Microsoft MVP, Oracle ACE – Loiane brings 18+ years of experience to this channel dedicated to Angular, Java, Spring Framework, VSCode, Cloud, and more!

I hope my content proves to be a valuable resource for you, inspiring you to reach new heights in your development endeavors.
",2006-10-21T16:33:39Z,US,15580774,0,153000,605,False,"Java Loiane ""loiane groner"" sencha extjs phonegap cordova ""estrutura de dados"" ""cursos grátis"" ""cursos com certificado"" ""visual studio code"" vscode angular ""angular 2"" ""angular 4"" ""angular 5"" ""angular 6"" ""angular 7"" ""angular 8"" ""curso java"" ""curso angular"" java ""curso java"" ""java intermediario"" ""java avançado""",https://yt3.ggpht.com/ytc/AIdro_lOi7TaoTbv0tWJOX0epBx1_tjLsBF99clR2wO8pJVAPlcC=s88-c-k-c0x00ffffff-no-rj
UCzLFIPtShz979JQsJGOof0Q,Lukskk,Oii voce gostaria de comer um miojo cru?,2021-05-05T07:20:45.768631Z,,873422867,0,1770000,573,False,,https://yt3.ggpht.com/6mT611LP2EJEir6ZmLfhULfGFzyLXlTqT7s90ZFzwTtv51l3JfFjzFhFjruxCFYJDo8Slfic=s88-c-k-c0x00ffffff-no-rj
UCq-HEKdwH-lObTMvnkW6NVA,Cryswerton Silva,"Esse canal foi criado com o intuito de ajudar quem está iniciando em programação, principalmente focando em programação Java, e sanar dúvidas pontuais sobre tecnologias no geral.",2017-10-19T04:11:24Z,BR,844455,0,6630,159,False,"""cryswerton silva"" programação ""programação para iniciantes"" ""aprender java"" ""aprender php"" ""aprender git"" java php git github ""programação web"" ""como criar sites""",https://yt3.ggpht.com/KK2wkMyuOpcuzXIMBQfQpLcG6vbZpRsu_bNscS2WhNjzXYzps4rhB6pHkdyRbGmUaizbMk0PRg=s88-c-k-c0x00ffffff-no-rj
UC42pOSNg804f1wCcj7qL0mA,Coding with John,"Hi, I'm John! I'm a Lead Java Software Engineer and I've been in the programming industry for more than a decade. I love sharing what I've learned over the years in a way that's understandable for all levels of Java learners.

Learn or improve your Java by watching it being coded live!
",2019-10-07T04:37:04Z,US,17339381,0,357000,92,False,"Java ""learn java"" ""java tutorial"" programming ""programming tutorial"" ""learn to code"" ""coding tutorial"" ""java beginners"" coding",https://yt3.ggpht.com/ytc/AIdro_n9Mv8CKnWpMmo4opj7Co6MlSdRQBK3Y9JpTtQ-LhZwwQ=s88-c-k-c0x00ffffff-no-rj
UCCigEaEk-_gOrNlPdseG1pA,Alexa Real,"you give a man a fish ... you feed him for a day
you give a chicken tnt ... no, no, no.

Now I do have tiktok:
https://www.tiktok.com/@realalexareal
",2021-04-05T10:16:22.123098Z,US,2589664576,0,3670000,852,False,"""minecraft memes"" minecraft meme ""alexa real""",https://yt3.ggpht.com/1_shYzJRf7U8wiswDu_vKeOus9qvYdRVKLy-rF1AbgNeol6krmwKEYIUJeREtDlIeujHdyvGgw=s88-c-k-c0x00ffffff-no-rj
UCZkUNZ-1QUNfGUPl0usikMw,thecoderworld,"thecoderworld.com is an intelligent way to stay ahead of the curve with our in-depth how-to guides on Windows, macOS, ChromeOS, and Linux.

It was founded on 6th Nov 2016, as a passion. Later when it got the attention of the audience, it turns into a responsibility to help people in the most effective way possible.

Official Website: https://www.thecoderworld.com 

I will always try to upload one video daily. Thanks for the support, and I'm always happy to help you all. 
",2016-11-06T14:38:00Z,IN,9428996,0,29500,978,False,"thecoderworld ""computer programming"" ""the coder world"" ""programming language"" ""programming tutorial"" programming coding java ""android development"" ""the coderworld""",https://yt3.ggpht.com/ytc/AIdro_kT5zzkOn8zdCH9AfLmMWTgg_eGNoDMaUJQVxL-s1Nr-xA=s88-c-k-c0x00ffffff-no-rj
UC42pOSNg804f1wCcj7qL0mA,Coding with John,"Hi, I'm John! I'm a Lead Java Software Engineer and I've been in the programming industry for more than a decade. I love sharing what I've learned over the years in a way that's understandable for all levels of Java learners.

Learn or improve your Java by watching it being coded live!
",2019-10-07T04:37:04Z,US,17339381,0,357000,92,False,"Java ""learn java"" ""java tutorial"" programming ""programming tutorial"" ""learn to code"" ""coding tutorial"" ""java beginners"" coding",https://yt3.ggpht.com/ytc/AIdro_n9Mv8CKnWpMmo4opj7Co6MlSdRQBK3Y9JpTtQ-LhZwwQ=s88-c-k-c0x00ffffff-no-rj
UCq-HEKdwH-lObTMvnkW6NVA,Cryswerton Silva,"Esse canal foi criado com o intuito de ajudar quem está iniciando em programação, principalmente focando em programação Java, e sanar dúvidas pontuais sobre tecnologias no geral.",2017-10-19T04:11:24Z,BR,844455,0,6630,159,False,"""cryswerton silva"" programação ""programação para iniciantes"" ""aprender java"" ""aprender php"" ""aprender git"" java php git github ""programação web"" ""como criar sites""",https://yt3.ggpht.com/KK2wkMyuOpcuzXIMBQfQpLcG6vbZpRsu_bNscS2WhNjzXYzps4rhB6pHkdyRbGmUaizbMk0PRg=s88-c-k-c0x00ffffff-no-rj
UCiJZnGciMTe7fiZZ8_0Qkug,LawlieTw,Só um canal de Minecraft de um Detetive aí,2017-03-24T22:35:14Z,BR,1081935,0,9640,224,False,"lawlietw lawliet olawlietw ""lawliet minecraft"" ""lawlietw minecraft"" ""lawliet mcpe"" ""lawlietw mcpe"" minecraft ""minecraft bedrock"" mcpe ""minecraft console"" ""minecraft survival"" smp ""lawliet smp"" ""lawlietw smp"" lsmp Lawliet Minecraft ""Minecraft Bedrock"" AdventureSMP",https://yt3.ggpht.com/uwqN3DDrcZDiD_8ZTei-utNEYl33kZKk5OTRn1Lkom5i7k4QBCMP4Yh1GdeCD18J8JDaY2scvA=s88-c-k-c0x00ffffff-no-rj
UCXSHOjS30YMaGRgwuuxBfLw,ChronicLawVEVO,"Chronic law whose birth name is Akeeme Campbell is a new generation Deejay/Singjay with his roots flowing from deep within the east side. Chronic Boss was born in December, December 17, 1993 to be more precise and he is a major Fan of Wiz Kalifa, Bob Marley and Snoop Dogg.",2018-04-09T19:56:59Z,JM,828661622,0,386000,462,False,"""chronic law"" ""law boss"" dancehall reggae jamaica hapilos 6ix mavado mix buju banton shaniel muir movado vybz kartel ft bounty killer sean paul trending alkaline masicka valiant spice chronixx popcaan 2023 new songs mixtape chronic law 1law boss grandma psalms badart zojak world wide",https://yt3.ggpht.com/_9jgVaVHt7AqGQ_-monYs2l0K-vLnGLwU1d2BuR3w96Cds1j_Kg5ClfwJM-twu4DI_1HEegR=s88-c-k-c0x00ffffff-no-rj
UCCigEaEk-_gOrNlPdseG1pA,Alexa Real,"you give a man a fish ... you feed him for a day
you give a chicken tnt ... no, no, no.

Now I do have tiktok:
https://www.tiktok.com/@realalexareal
",2021-04-05T10:16:22.123098Z,US,2589664576,0,3670000,852,False,"""minecraft memes"" minecraft meme ""alexa real""",https://yt3.ggpht.com/1_shYzJRf7U8wiswDu_vKeOus9qvYdRVKLy-rF1AbgNeol6krmwKEYIUJeREtDlIeujHdyvGgw=s88-c-k-c0x00ffffff-no-rj
UCzE0cBVasE3tUoUvnxxcn6Q,JavaOfficialVEVO,,2019-07-01T17:09:34Z,,2237127,0,11800,31,False,,https://yt3.ggpht.com/w-KCpEv6MdmWTGkrYmwHKP1Q2_FuoAA_QFTAFsbmz1hFSGZkNZpXy113JOsDcIeq6uV-fg85KA=s88-c-k-c0x00ffffff-no-rj
UCQiXnqwGJGmOg50EES7UGrw,Codez Freak,"Hello Everyone!

This channel is all about sharing information about coding and programming languages and more for your better tomorrow.



Thank you for showing your interest in my ""YouTube"" channel.",2021-08-28T13:53:45.42174Z,IN,39572,0,217,85,False,,https://yt3.ggpht.com/Qtz14ZRpO8m7DcyP8EMHK4yyRFltOtlMRkDy-nFvjNc7wLSvY8G8E3810p1cWB4WvDZf-Aoblw=s88-c-k-c0x00ffffff-no-rj
UCq-HEKdwH-lObTMvnkW6NVA,Cryswerton Silva,"Esse canal foi criado com o intuito de ajudar quem está iniciando em programação, principalmente focando em programação Java, e sanar dúvidas pontuais sobre tecnologias no geral.",2017-10-19T04:11:24Z,BR,844455,0,6630,159,False,"""cryswerton silva"" programação ""programação para iniciantes"" ""aprender java"" ""aprender php"" ""aprender git"" java php git github ""programação web"" ""como criar sites""",https://yt3.ggpht.com/KK2wkMyuOpcuzXIMBQfQpLcG6vbZpRsu_bNscS2WhNjzXYzps4rhB6pHkdyRbGmUaizbMk0PRg=s88-c-k-c0x00ffffff-no-rj
UCORuRdpN2QTCKnsuEaeK-kQ,Java Techie,"Welcome to Java Techie, your ultimate guide to cutting-edge technology! 🚀

Explore the realms of Core Java (versions 7, 8, and 17), Java/J2EE, Spring, Spring Boot, web services, Spring Cloud, microservices, Hibernate, JPA, RDBMS (MySQL), NoSQL (MongoDB, Neo4j, Cassandra), Kafka, RabbitMQ, Angular, React, Docker, Kubernetes, AWS, Azure, and CI/CD tools like Jenkins, GitHub, Splunk, ELK, Sonar, and JMeter.

🤝 Knowledge Exchange:
Java Techie is a two-way street. Join a community passionate about sharing and gaining knowledge. Engage in discussions, ask questions, and let's grow together.

💡  About Me - [JavaTechie]:
Passionate software developer and blogger based in Bangalore, India. I thrive on writing code, exploring new technologies, and sharing experiences globally. Join me on this journey of continuous learning!

🚀 Let's code, learn, and grow together!

""Sharing knowledge is the biggest learning."" 🚀 #JavaTechie #CodeWithPassion #TechTutorials
",2017-06-02T07:39:38Z,IN,24624480,0,179000,431,False,,https://yt3.ggpht.com/ytc/AIdro_kuRiTAe_o_AFf-5PrM0Jx0-gsjb_A6M5RB4smGuZWsc0c=s88-c-k-c0x00ffffff-no-rj
